regime,undefined_policy,law,mean_repeats,dataset,threshold,zipf_exponent,lognormal_sigma,geometric_tail,observed_mean_r2,observed_undefined_groups,observed_mean_slope,observed_mean_unit_types,boundary_f1,cuts_per_sequence,elements_total,n_groups,shuffle_mean,shuffle_sd,shuffle_z,shuffle_p,shuffle_undefined_rate,shuffle_dropped_replicates,rotate_mean,rotate_sd,rotate_z,rotate_p,rotate_undefined_rate,rotate_dropped_replicates,bigram_mean,bigram_sd,bigram_z,bigram_p,bigram_undefined_rate,bigram_dropped_replicates
finch,zero,zipf,1.0,0,0.5,1.0,1.0,0.05,0.9267604144047482,0,-1.040069480192575,37.0,0.5965919588117589,13.186666666666667,13880,30,0.5830872986163471,0.019733823405070607,17.41543484675627,0.000999000999000999,0.007933333333333334,0,0.832649833459775,0.0056517060531669,16.65171190073464,0.000999000999000999,3.3333333333333335e-05,0,0.8660066316332021,0.008392901443042892,7.238710377316128,0.000999000999000999,0.0,0
finch,zero,zipf,1.0,1,0.5,1.0,1.0,0.05,0.9079371979531976,0,-0.8935831055163487,39.36666666666667,0.6319722121942855,10.04,13147,30,0.49969079820877343,0.021867161940317136,18.66938201027945,0.000999000999000999,0.026866666666666667,0,0.7626183059387909,0.007998100370148312,18.169175840401714,0.000999000999000999,0.0,0,0.8185963871752381,0.011685265155035677,7.645595507899859,0.000999000999000999,0.0,0
finch,zero,zipf,1.0,2,0.5,1.0,1.0,0.05,0.9145382016702273,0,-0.969637943733991,36.63333333333333,0.5881881421541061,10.936666666666667,13621,30,0.7174472290159966,0.013900001427579517,14.179205209517106,0.000999000999000999,0.0001,0,0.8022737381753072,0.007316163352263842,15.344718001708097,0.000999000999000999,0.0,0,0.8507590607757024,0.008995770539497414,7.089903039933269,0.000999000999000999,0.0,0
finch,zero,zipf,1.0,3,0.5,1.0,1.0,0.05,0.920688854934012,0,-0.9072027992868577,39.7,0.6069116293616381,10.503333333333334,13659,30,0.4231445520561342,0.024625518018736584,20.204419760807305,0.000999000999000999,0.07706666666666667,0,0.7801279541575443,0.007523702717375634,18.68241025151737,0.000999000999000999,0.0,0,0.8488795747298433,0.010253218227856808,7.003584494970677,0.000999000999000999,6.666666666666667e-05,0
finch,zero,zipf,1.0,4,0.5,1.0,1.0,0.05,0.9288801198865493,0,-1.005204206148935,36.9,0.5977835126889767,11.983333333333333,13863,30,0.4881392694601034,0.023378483257674203,18.852414229300724,0.000999000999000999,0.0408,0,0.8290875912168671,0.005628777850714513,17.728986880698184,0.000999000999000999,0.0,0,0.8675533583964191,0.008197725618184624,7.480948295475019,0.000999000999000999,0.0,0
finch,zero,zipf,1.0,5,0.5,1.0,1.0,0.05,0.9195732359399166,0,-0.9906919125419079,36.36666666666667,0.6432150571085334,11.563333333333333,12316,30,0.5131809678609719,0.02303408503714417,17.643082736892175,0.000999000999000999,0.029633333333333334,0,0.8269454790805091,0.006188254213413492,14.968317988396482,0.000999000999000999,0.0,0,0.8860604625356389,0.007318880811267965,4.578947829384282,0.000999000999000999,0.0,0
finch,zero,zipf,1.0,6,0.5,1.0,1.0,0.05,0.9067505029829871,0,-0.8582319332269651,43.03333333333333,0.5188201466582153,10.836666666666666,13237,30,0.5782281612031525,0.018958374528208893,17.32861334135021,0.000999000999000999,0.0033333333333333335,0,0.8014106349500301,0.007128580147543054,14.777117722280728,0.000999000999000999,0.0,0,0.831519097590308,0.01203147512441922,6.252882927047625,0.000999000999000999,0.0,0
finch,zero,zipf,1.0,7,0.5,1.0,1.0,0.05,0.932903848221523,0,-1.014390745892326,34.8,0.69445191039428,10.74,13159,30,0.5084502922078347,0.02267356825825749,18.720192215846154,0.000999000999000999,0.023866666666666668,0,0.7861003089791072,0.007070892810831792,20.76166944823851,0.000999000999000999,0.0,0,0.8387887909269723,0.010854244096875562,8.670807147375836,0.000999000999000999,0.0,0
finch,zero,zipf,1.0,8,0.5,1.0,1.0,0.05,0.9233117218200401,0,-0.9159016135357234,39.266666666666666,0.6158562822884693,10.336666666666666,12505,30,0.5485053471843084,0.020594659133522555,18.199202628493513,0.000999000999000999,0.017433333333333332,0,0.788444358338604,0.006962492066716992,19.37055901666969,0.000999000999000999,0.0,0,0.8472664795551138,0.009263815583556066,8.208846730488892,0.000999000999000999,0.0,0
finch,zero,zipf,1.0,9,0.5,1.0,1.0,0.05,0.9265885825417961,0,-1.029101807690858,36.7,0.6360762710980665,12.3,13204,30,0.5878308521450525,0.01878665033861066,18.0318324071068,0.000999000999000999,0.0135,0,0.8330470294979914,0.005592310551055081,16.726816615389247,0.000999000999000999,0.0,0,0.8560802397273637,0.008682415161483808,8.120821396241858,0.000999000999000999,0.0,0
